Effective date ,Dow Jones Commodity Index Cocoa
11/30/2012,186.28
12/3/2012,187.84
12/4/2012,182.25
12/5/2012,180.46
12/6/2012,180.46
12/7/2012,179.87
12/10/2012,177.4
12/11/2012,177.48
12/12/2012,182.03
12/13/2012,180.61
12/14/2012,181.58
12/17/2012,180.84
12/18/2012,178.75
12/19/2012,175.84
12/20/2012,173.6
12/21/2012,172.41
12/24/2012,169.5
12/26/2012,168.75
12/27/2012,168.16
12/28/2012,167.71
12/31/2012,166.74
1/2/2013,168.46
1/3/2013,168.23
1/4/2013,165.55
1/7/2013,169.05
1/8/2013,165.18
1/9/2013,165.77
1/10/2013,169.2
1/11/2013,168.23
1/14/2013,169.05
1/15/2013,169.28
1/16/2013,168.23
1/17/2013,171.51
1/18/2013,170.4
1/22/2013,165.03
1/23/2013,165.18
1/24/2013,163.68
1/25/2013,162.04
1/28/2013,161.15
1/29/2013,163.68
1/30/2013,162.49
1/31/2013,164.43
2/1/2013,164.43
2/4/2013,163.46
2/5/2013,167.49
2/6/2013,165.77
2/7/2013,166.86
2/8/2013,166.29
2/11/2013,162.03
2/12/2013,161.95
2/13/2013,161.82
2/14/2013,160.78
2/15/2013,159.88
2/19/2013,158.02
2/20/2013,157.57
2/21/2013,159.06
2/22/2013,159.51
2/25/2013,159.81
2/26/2013,158.46
2/27/2013,158.91
2/28/2013,159.21
3/1/2013,155.26
3/4/2013,153.32
3/5/2013,153.54
3/6/2013,152.27
3/7/2013,153.77
3/8/2013,158.09
3/11/2013,158.84
3/12/2013,160.92
3/13/2013,160.1
3/14/2013,158.84
3/15/2013,157.72
3/18/2013,155.7
3/19/2013,156.52
3/20/2013,160.48
3/21/2013,161.52
3/22/2013,161
3/25/2013,158.84
3/26/2013,160.03
3/27/2013,160.33
3/28/2013,161.82
4/1/2013,162.86
4/2/2013,161.89
4/3/2013,160.33
4/4/2013,159.66
4/5/2013,159.3
4/8/2013,163.56
4/9/2013,166.1
4/10/2013,166.11
4/11/2013,167.41
4/12/2013,169.13
4/15/2013,169.05
4/16/2013,172.71
4/17/2013,172.78
4/18/2013,172.93
4/19/2013,173.97
4/22/2013,172.26
4/23/2013,173.53
4/24/2013,173.45
4/25/2013,175.99
4/26/2013,176.29
4/29/2013,174.12
4/30/2013,176.58
5/1/2013,180.09
5/2/2013,180.01
5/3/2013,180.16
5/6/2013,179.12
5/7/2013,178.67
5/8/2013,178.3
5/9/2013,175.17
5/10/2013,171.51
5/13/2013,173.45
5/14/2013,175.47
5/15/2013,174.79
5/16/2013,171.07
5/17/2013,171.51
5/20/2013,171.59
5/21/2013,174.87
5/22/2013,172.78
5/23/2013,170.25
5/24/2013,167.49
5/28/2013,164.43
5/29/2013,164.8
5/30/2013,164.88
5/31/2013,163.39
6/3/2013,167.49
6/4/2013,170.25
6/5/2013,172.11
6/6/2013,176.21
6/7/2013,176.35
6/10/2013,176.23
6/11/2013,176.02
6/12/2013,177.24
6/13/2013,172.26
6/14/2013,168.01
6/17/2013,165.18
6/18/2013,164.8
6/19/2013,165.25
6/20/2013,160.85
6/21/2013,160.4
6/24/2013,160.25
6/25/2013,161.3
6/26/2013,161.45
6/27/2013,160.18
6/28/2013,161.37
7/1/2013,161
7/2/2013,162.42
7/3/2013,166.29
7/5/2013,164.35
7/8/2013,162.12
7/9/2013,163.01
7/10/2013,162.42
7/11/2013,166.96
7/12/2013,166.74
7/15/2013,165.62
7/16/2013,170.69
7/17/2013,171.51
7/18/2013,175.02
7/19/2013,176.29
7/22/2013,175.09
7/23/2013,175.91
7/24/2013,175.99
7/25/2013,175.02
7/26/2013,173.97
7/29/2013,170.02
7/30/2013,170.54
7/31/2013,171.36
8/1/2013,171.59
8/2/2013,170.84
8/5/2013,176.29
8/6/2013,177.03
8/7/2013,182.34
8/8/2013,184.28
8/9/2013,184.43
8/12/2013,185.97
8/13/2013,183.3
8/14/2013,186.06
8/15/2013,185.31
8/16/2013,186.06
8/19/2013,187.32
8/20/2013,187.92
8/21/2013,182.7
8/22/2013,183
8/23/2013,183.82
8/26/2013,185.01
8/27/2013,182.92
8/28/2013,186.28
8/29/2013,184.86
8/30/2013,181.66
9/3/2013,180.31
9/4/2013,186.13
9/5/2013,191.42
9/6/2013,191.2
9/9/2013,190.45
9/10/2013,191.65
9/11/2013,191.72
9/12/2013,193.21
9/13/2013,193.96
9/16/2013,196.57
9/17/2013,194.93
9/18/2013,195.6
9/19/2013,196.12
9/20/2013,194.48
9/23/2013,194.63
9/24/2013,194.11
9/25/2013,191.87
9/26/2013,193.66
9/27/2013,196.79
9/30/2013,196.87
10/1/2013,196.42
10/2/2013,196.27
10/3/2013,192.77
10/4/2013,194.71
10/7/2013,201.27
10/8/2013,202.68
10/9/2013,201.57
10/10/2013,203.5
10/11/2013,204.77
10/14/2013,202.31
10/15/2013,205.82
10/16/2013,204.85
10/17/2013,206.34
10/18/2013,202.91
10/21/2013,203.58
10/22/2013,206.49
10/23/2013,202.39
10/24/2013,200.3
10/25/2013,202.31
10/28/2013,200.15
10/29/2013,198.28
10/30/2013,198.36
10/31/2013,199.63
11/1/2013,197.69
11/4/2013,197.91
11/5/2013,204.03
11/6/2013,203.58
11/7/2013,199.81
11/8/2013,198.11
11/11/2013,193.51
11/12/2013,195.3
11/13/2013,198.73
11/14/2013,199.85
11/15/2013,203.58
11/18/2013,207.31
11/19/2013,208.43
11/20/2013,209.55
11/21/2013,208.35
11/22/2013,208.72
11/25/2013,209.02
11/26/2013,206.49
11/27/2013,206.26
11/29/2013,207.9
12/2/2013,209.77
12/3/2013,209.4
12/4/2013,206.49
12/5/2013,205.37
12/6/2013,209.02
12/9/2013,205.15
12/10/2013,206.79
12/11/2013,205.44
12/12/2013,207.83
12/13/2013,206.86
12/16/2013,208.2
12/17/2013,206.64
12/18/2013,206.56
12/19/2013,208.13
12/20/2013,210.22
12/23/2013,209.4
12/24/2013,210.29
12/26/2013,207.53
12/27/2013,207.68
12/30/2013,202.24
12/31/2013,202.01
1/2/2014,196.57
1/3/2014,201.27
1/6/2014,198.88
1/7/2014,199.48
1/8/2014,201.34
1/9/2014,200.15
1/10/2014,202.24
1/13/2014,202.24
1/14/2014,205.22
1/15/2014,204.92
1/16/2014,205.29
1/17/2014,201.34
1/21/2014,199.78
1/22/2014,201.12
1/23/2014,208.13
1/24/2014,208.2
1/27/2014,215.44
1/28/2014,216.63
1/29/2014,217.6
1/30/2014,217.15
1/31/2014,217.08
2/3/2014,217.3
2/4/2014,214.54
2/5/2014,215.06
2/6/2014,215.21
2/7/2014,218.17
2/10/2014,217.57
2/11/2014,217.96
2/12/2014,221.1
2/13/2014,220.58
2/14/2014,221.25
2/18/2014,220.66
2/19/2014,218.79
2/20/2014,221.92
2/21/2014,219.99
2/24/2014,220.58
2/25/2014,217.82
2/26/2014,218.64
2/27/2014,220.36
2/28/2014,220.51
3/3/2014,217.6
3/4/2014,220.43
3/5/2014,221.48
3/6/2014,220.81
3/7/2014,222.3
3/10/2014,222.52
3/11/2014,224.16
3/12/2014,219.69
3/13/2014,224.16
3/14/2014,223.12
3/17/2014,225.95
3/18/2014,224.76
3/19/2014,225.58
3/20/2014,221.77
3/21/2014,220.51
3/24/2014,219.24
3/25/2014,219.91
3/26/2014,220.95
3/27/2014,220.36
3/28/2014,222.45
3/31/2014,220.36
4/1/2014,219.46
4/2/2014,217.52
4/3/2014,217.52
4/4/2014,221.18
4/7/2014,220.87
4/8/2014,223.36
4/9/2014,225.21
4/10/2014,222.37
4/11/2014,223.64
4/14/2014,223.42
4/15/2014,222.3
4/16/2014,221.77
4/17/2014,225.21
4/21/2014,224.01
4/22/2014,224.16
4/23/2014,224.31
4/24/2014,222.15
4/25/2014,220.21
4/28/2014,219.69
4/29/2014,220.06
4/30/2014,222.22
5/1/2014,217.9
5/2/2014,217.52
5/5/2014,218.27
5/6/2014,217.75
5/7/2014,216.18
5/8/2014,215.81
5/9/2014,213.57
5/12/2014,213.65
5/13/2014,216.33
5/14/2014,215.59
5/15/2014,216.78
5/16/2014,217.52
5/19/2014,218.49
5/20/2014,221.33
5/21/2014,222.3
5/22/2014,223.79
5/23/2014,225.35
5/27/2014,226.03
5/28/2014,225.88
5/29/2014,227.14
5/30/2014,229.01
6/2/2014,228.86
6/3/2014,228.93
6/4/2014,230.28
6/5/2014,230.57
6/6/2014,229.6
6/9/2014,229.55
6/10/2014,230.11
6/11/2014,231.59
6/12/2014,228.34
6/13/2014,231.39
6/16/2014,231.62
6/17/2014,231.77
6/18/2014,232.51
6/19/2014,232.36
6/20/2014,231.77
6/23/2014,229.68
6/24/2014,226.92
6/25/2014,228.78
6/26/2014,227.67
6/27/2014,233.78
6/30/2014,233.18
7/1/2014,232.59
7/2/2014,232.44
7/3/2014,231.62
7/7/2014,231.1
7/8/2014,232.36
7/9/2014,230.2
7/10/2014,229.75
7/11/2014,230.43
7/14/2014,229.9
7/15/2014,231.62
7/16/2014,228.34
7/17/2014,228.49
7/18/2014,229.83
7/21/2014,233.26
7/22/2014,233.48
7/23/2014,237.51
7/24/2014,238.48
7/25/2014,238.18
7/28/2014,236.02
7/29/2014,236.91
7/30/2014,239
7/31/2014,240.04
8/1/2014,239.15
8/4/2014,238.26
8/5/2014,238.26
8/6/2014,240.04
8/7/2014,240.76
8/8/2014,240.33
8/11/2014,240.22
8/12/2014,241.22
8/13/2014,240.94
8/14/2014,241.24
8/15/2014,241.83
8/18/2014,243.1
8/19/2014,238.93
8/20/2014,240.57
8/21/2014,238.63
8/22/2014,238.18
8/25/2014,240.04
8/26/2014,239.82
8/27/2014,239.45
8/28/2014,240.72
8/29/2014,240.79
9/2/2014,236.02
9/3/2014,234.6
9/4/2014,233.56
9/5/2014,231.32
9/8/2014,229.01
9/9/2014,229.6
9/10/2014,228.41
9/11/2014,225.8
9/12/2014,227.67
9/15/2014,227.96
9/16/2014,228.93
9/17/2014,235.12
9/18/2014,238.03
9/19/2014,243.03
9/22/2014,248.17
9/23/2014,245.86
9/24/2014,251.38
9/25/2014,248.55
9/26/2014,246.91
9/29/2014,246.91
9/30/2014,246.09
10/1/2014,236.54
10/2/2014,230.43
10/3/2014,227.89
10/6/2014,229.6
10/7/2014,227.52
10/8/2014,226.55
10/9/2014,227.96
10/10/2014,235.42
10/13/2014,228.11
10/14/2014,231.32
10/15/2014,235.12
10/16/2014,230.13
10/17/2014,232.51
10/20/2014,232.66
10/21/2014,231.92
10/22/2014,232.14
10/23/2014,232.66
10/24/2014,227.44
10/27/2014,221.48
10/28/2014,217.97
10/29/2014,219.02
10/30/2014,219.69
10/31/2014,216.18
11/3/2014,213.35
11/4/2014,214.84
11/5/2014,214.09
11/6/2014,213.94
11/7/2014,215.35
11/10/2014,215.85
11/11/2014,217.7
11/12/2014,213.56
11/13/2014,210.37
11/14/2014,208.58
11/17/2014,210.89
11/18/2014,209.47
11/19/2014,211.41
11/20/2014,210.96
11/21/2014,210.44
11/24/2014,213.72
11/25/2014,210.59
11/26/2014,214.09
11/28/2014,212.01
12/1/2014,215.96
12/2/2014,213.2
12/3/2014,212.68
12/4/2014,213.65
12/5/2014,215.51
12/8/2014,216.48
12/9/2014,220.13
12/10/2014,218.72
12/11/2014,212.83
12/12/2014,213.05
12/15/2014,214.24
12/16/2014,217.3
12/17/2014,217.38
12/18/2014,221.1
12/19/2014,222.22
12/22/2014,222.67
12/23/2014,221.18
12/24/2014,221.03
12/26/2014,219.31
12/29/2014,221.03
12/30/2014,221.63
12/31/2014,217
1/2/2015,218.27
1/5/2015,219.54
1/6/2015,216.41
1/7/2015,217.15
1/8/2015,222.67
1/9/2015,221.33
1/12/2015,223.27
1/13/2015,223.04
1/14/2015,223.12
1/15/2015,222
1/16/2015,219.39
1/20/2015,218.12
1/21/2015,212.68
1/22/2015,208.87
1/23/2015,205.44
1/26/2015,204.1
1/27/2015,204.55
1/28/2015,202.46
1/29/2015,200.3
1/30/2015,200.82
2/2/2015,199.25
2/3/2015,200.67
2/4/2015,203.13
2/5/2015,204.55
2/6/2015,207.04
2/9/2015,213.77
2/10/2015,213.72
2/11/2015,214.99
2/12/2015,217.67
2/13/2015,218.57
2/17/2015,219.39
2/18/2015,221.7
2/19/2015,221.85
2/20/2015,222.15
2/23/2015,223.79
2/24/2015,224.98
2/25/2015,220.66
2/26/2015,222.3
2/27/2015,224.91
3/2/2015,224.16
3/3/2015,225.35
3/4/2015,224.24
3/5/2015,223.42
3/6/2015,219.61
3/9/2015,218.79
3/10/2015,217.23
3/11/2015,212.9
3/12/2015,211.63
3/13/2015,210.14
3/16/2015,208.13
3/17/2015,207.9
3/18/2015,205.67
3/19/2015,202.46
3/20/2015,208.05
3/23/2015,205.59
3/24/2015,207.53
3/25/2015,207.76
3/26/2015,205.82
3/27/2015,204.62
3/30/2015,200.97
3/31/2015,201.27
4/1/2015,204.92
4/2/2015,206.41
4/6/2015,208.8
4/7/2015,207.68
4/8/2015,209.23
4/9/2015,208.11
4/10/2015,207.47
4/13/2015,208.9
4/14/2015,212.3
4/15/2015,210.44
4/16/2015,214.32
4/17/2015,211.86
4/20/2015,207.31
4/21/2015,206.94
4/22/2015,207.46
4/23/2015,208.95
4/24/2015,215.14
4/27/2015,217.9
4/28/2015,218.05
4/29/2015,219.31
4/30/2015,219.46
5/1/2015,214.54
5/4/2015,214.39
5/5/2015,219.46
5/6/2015,217.67
5/7/2015,218.42
5/8/2015,219.61
5/11/2015,224.16
5/12/2015,226.47
5/13/2015,227.89
5/14/2015,230.28
5/15/2015,233.63
5/18/2015,234.15
5/19/2015,234.53
5/20/2015,233.04
5/21/2015,235.87
5/22/2015,235.12
5/26/2015,234.9
5/27/2015,233.71
5/28/2015,232.51
5/29/2015,230.05
6/1/2015,227.67
6/2/2015,232.07
6/3/2015,233.04
6/4/2015,232.29
6/5/2015,232.32
6/8/2015,232.41
6/9/2015,231.83
6/10/2015,233.68
6/11/2015,231.47
6/12/2015,234.53
6/15/2015,238.48
6/16/2015,241.24
6/17/2015,240.27
6/18/2015,245.34
6/19/2015,243.1
6/22/2015,244.67
6/23/2015,242.43
6/24/2015,244.74
6/25/2015,243.7
6/26/2015,247.73
6/29/2015,248.4
6/30/2015,243.77
7/1/2015,244.3
7/2/2015,245.19
7/6/2015,244.44
7/7/2015,242.36
7/8/2015,242.13
7/9/2015,244.44
7/10/2015,246.31
7/13/2015,246.46
7/14/2015,251.3
7/15/2015,250.04
7/16/2015,249.96
7/17/2015,249.52
7/20/2015,250.04
7/21/2015,248.77
7/22/2015,244.37
7/23/2015,241.69
7/24/2015,237.21
7/27/2015,238.11
7/28/2015,238.93
7/29/2015,239.9
7/30/2015,240.19
7/31/2015,239.3
8/3/2015,236.09
8/4/2015,236.02
8/5/2015,232.66
8/6/2015,227.96
8/7/2015,231.9
8/10/2015,231.22
8/11/2015,230.45
8/12/2015,227.34
8/13/2015,228.26
8/14/2015,228.26
8/17/2015,227.89
8/18/2015,229.98
8/19/2015,232.36
8/20/2015,233.78
8/21/2015,229.23
8/24/2015,230.28
8/25/2015,231.77
8/26/2015,231.02
8/27/2015,231.84
8/28/2015,232.07
8/31/2015,231.1
9/1/2015,234.23
9/2/2015,232.44
9/3/2015,232.21
9/4/2015,236.24
9/8/2015,240.12
9/9/2015,243.85
9/10/2015,244.3
9/11/2015,242.65
9/14/2015,245.04
9/15/2015,241.46
9/16/2015,243.62
9/17/2015,244.74
9/18/2015,246.91
9/21/2015,246.91
9/22/2015,246.98
9/23/2015,247.2
9/24/2015,245.56
9/25/2015,244.3
9/28/2015,241.76
9/29/2015,237.29
9/30/2015,232.21
10/1/2015,231.54
10/2/2015,230.8
10/5/2015,230.57
10/6/2015,230.57
10/7/2015,229.6
10/8/2015,228.19
10/9/2015,227.37
10/12/2015,229.23
10/13/2015,233.04
10/14/2015,231.84
10/15/2015,231.47
10/16/2015,232.59
10/19/2015,236.32
10/20/2015,238.78
10/21/2015,234.6
10/22/2015,234.15
10/23/2015,233.04
10/26/2015,236.69
10/27/2015,238.4
10/28/2015,240.04
10/29/2015,239.75
10/30/2015,243.03
11/2/2015,245.71
11/3/2015,245.86
11/4/2015,241.24
11/5/2015,243.33
11/6/2015,241.52
11/9/2015,239.51
11/10/2015,244.19
11/11/2015,246.96
11/12/2015,248.17
11/13/2015,250.78
11/16/2015,251.83
11/17/2015,251.38
11/18/2015,249.14
11/19/2015,251.83
11/20/2015,251.16
11/23/2015,246.53
11/24/2015,248.92
11/25/2015,246.38
11/27/2015,246.83
11/30/2015,248.99
12/1/2015,248.84
12/2/2015,248.55
12/3/2015,252.5
12/4/2015,252.8
12/7/2015,254.81
12/8/2015,247.28
12/9/2015,251.38
12/10/2015,249.59
12/11/2015,250.04
12/14/2015,251.68
12/15/2015,248.92
12/16/2015,245.41
12/17/2015,242.58
12/18/2015,242.51
12/21/2015,241.54
12/22/2015,238.4
12/23/2015,243.1
12/24/2015,239.37
12/28/2015,238.18
12/29/2015,239.45
12/30/2015,240.79
12/31/2015,239.45
1/4/2016,232.96
1/5/2016,228.11
1/6/2016,222.3
1/7/2016,220.95
1/8/2016,224.98
1/11/2016,216.41
1/12/2016,213.27
1/13/2016,215.66
1/14/2016,213.05
1/15/2016,216.63
1/19/2016,218.79
1/20/2016,209.55
1/21/2016,212.9
1/22/2016,214.17
1/25/2016,210.22
1/26/2016,210.96
1/27/2016,206.11
1/28/2016,208.13
1/29/2016,205.89
2/1/2016,213.87
2/2/2016,205.89
2/3/2016,211.56
2/4/2016,206.11
2/5/2016,206.85
2/8/2016,213.48
2/9/2016,212.54
2/10/2016,212.39
2/11/2016,208.8
2/12/2016,214.32
2/16/2016,211.33
2/17/2016,214.77
2/18/2016,217.6
2/19/2016,213.05
2/22/2016,214.69
2/23/2016,215.44
2/24/2016,218.42
2/25/2016,219.76
2/26/2016,215.36
2/29/2016,220.36
3/1/2016,218.72
3/2/2016,219.84
3/3/2016,220.13
3/4/2016,224.31
3/7/2016,224.46
3/8/2016,221.48
3/9/2016,225.35
3/10/2016,228.34
3/11/2016,228.34
3/14/2016,229.75
3/15/2016,227.67
3/16/2016,226.7
3/17/2016,232.36
3/18/2016,232.51
3/21/2016,229.08
3/22/2016,226.32
3/23/2016,220.95
3/24/2016,220.88
3/28/2016,221.48
3/29/2016,221.48
3/30/2016,221.77
3/31/2016,219.99
